시도명,시군구명,시티투어코스명,시티투어문의처,시티투어운영시간,시티투어운행방식,시티투어탑승장소명,시티투어코스정보,경유지주변관광정보,시티투어코스부가정보,운행정보,운행시작시각,운행종료시각,배차시간,이용요금,이용요금부가정보,홈페이지주소,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
대전광역시,동구,"광역투어(첫주, 토)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,"대전역 → 우암사적공원 → 부소담악(추소정) → 자율중식/향수길탐방(정지용 생가, 정지용문학관, 육영수 생가) → 둔주봉(한반도 전망대) → 대전역",,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(첫주, 일)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 우암사적공원(남간정사) → 관촉사(은진미륵) → 강경 젓갈시장/자율중식 → 탑정호(수변생태공원) → 계백장군유적지 (백제군사박물관) → 돈암서원 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(둘째주, 토)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 대청호오백리길(암석식물원∼대청댐물문화관) → 문의 시내(자율중식) → 청남대 → 청주고인쇄박물관(유네스코 기록문화유산 직지) → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(둘째주, 일)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 한밭교육박물관 → 세종호수공원(대통령기록관)/자율중식 → 베어트리파크 → 금강수목원 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(셋째주, 토)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 만인산자연휴양림 → 금산인삼시장 / 자율중식 → 개삼터(인삼발원지) / 보석사 → 칠백의총 → 하늘물빛정원 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(셋째주, 일)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 대전시립박물관 → 공산성 / 자율중식 → 무령왕릉 → 국립공주박물관 → 유성온천족욕체험장 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(넷재주, 토)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,"대전역 → 부소산성(백마강 황포돛배 이용 고산사, 낙화암) → 자율중식(굿뜨래 음식특화거리) → 국악의전당(부여군충남국악단) → 백제문화단지 → 동춘당 → 대전역",,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(넷재주, 일)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 동춘당 → 정이품송 → 속리산국립공원(법주사)/자율중식 → 솔향공원 → 보은 선병국가옥 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(다섯째주, 토)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,"대전역 → 대청호자연생태관 → 영동전통시장, 와인삼겹살거리/ 자율중식 → 노근리평화공원 → 영동와인터널 → 난계국악박물관(토요상설국악공연) → 대전역",,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,"광역투어(다섯째주, 일)",042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 계룡산(동학사) 탐방 → 계룡산동학지구 자율중식 → 계룡산 도예촌 → 사계고택(은농재) → 진잠향교 → 유성온천족욕체험장→ 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"8,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,언택트세이프(A),042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 한밭수목원 → 국립대전현충원 → 유림공원 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,언택트세이프(B),042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 동춘당 → 계족산황톳길(장동산림욕장) → 유성온천족욕체험장 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,언택트세이프?,042-252-7725,매주 토 + 일요일 운영,고정형,대전역시티투어승강장,대전역 → 만인산자연휴양림 → 식장산문화공원 → 대전역,,,연중 매주 토-일요일,09:30,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
충청남도,서천군,문화코스,서천종합관광안내소041-952-9525 + 서천군청(관광축제과)041-950-4019 + 해밀여행사1577-7788 + 용산역 여행센터 02-3780-5555,화+수+목+금+토+일,고정형,서천버스터미널+서천종합관광안내소+장항역,문헌서원-장항6080음식골목 맛나로-장항스카이워크-장항송림산림욕장-국립해양생물자원관-[서천특화시장(화+목+토)+한산모시관(수+금+일/2~8월)+신성리갈대밭(수+금+일/9~1월)]-국립생태원,홈페이지 및 리플릿 참조,홈페이지 및 리플릿 참조,이용요금 납부계좌는 서천군청 농협-301-0178-4324-61+이용자는 반드시 개별적으로 여행자보험 가입+미가입으로 인한 피해의 책임은 이용자 본인에게 있음+상기 일정은 날씨 및 기타 사정에 의해 변경될수 있음,09:50,17:50,40,13세 이상 4000원+ 65세 이상 3000원+ 장애인 또는 어린이 1000원+ 보호자를 동반한 5세 이하 무료,국립생태원 30할인 + 국립해양생물자원관 30할인,http://www.seocheon.go.kr/tour/sub01_10_01.do,충청남도서천군,041-950-4019,2020-11-30,4580000,충청남도 서천군
강원도,삼척시,종일코스,관광정책과 033-570-3846,09:00~18:00,순환형,죽서루+삼척종합버스터미널+쏠비치삼척,삼척해양레일바이크-중앙시장(청년몰)-대금굴,,,3월~11월+관광지휴무일 제외,09:00,18:00,480,"성인 6,000원+초중고생4,000원+미취학아동 3,000원",,http://www.samcheok.go.kr/citytour,삼척시청,033-570-3846,2020-07-30,4240000,강원도 삼척시
경상북도,경주시,동해안투어,"경주시티투어, 054-743-6001",매일운행,고정형,신경주역,골굴사-감은사지-문무대왕릉-양남주상절리(파도소리길),,,매일운행,09:00,18:00,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지+입장료 중식비 별도,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-10-23,5050000,경상북도 경주시
경상북도,경주시,세계문화유산투어,"경주시티투어, 054-743-6001",매일운행,고정형,불국사(관광안내소),태종무열왕릉-대릉원-분황사-석굴암-불국사,,,매일운행,09:30,18:00,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지+입장료 중식비 별도,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-10-23,5050000,경상북도 경주시
경상북도,경주시,신라역사투어,"경주시티투어, 054-743-6001",매일운행,고정형,천군휴게소,김유신장군묘-국립경주박물관-황룡사지(역사문화관)-불국사,,,매일운행,08:55,17:30,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지+입장료 중식비 별도,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-10-23,5050000,경상북도 경주시
경상북도,경주시,양동마을남산투어,"경주시티투어, 054-743-6001",매일운행,고정형,불국사(관광안내소),양동마을-전통시장-포석정-삼불사-석조여래좌상-경애왕릉,,,매일운행,09:30,17:30,0,"대인20,000원+소인18,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지+입장료 중식비 별도,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-10-23,5050000,경상북도 경주시
경상북도,경주시,경주야경투어,"경주시티투어, 054-743-6001",매일운행,고정형,버스터미널,동궁과월지-첨성대-계림-교촌마을-월정교,,,매일운행,18:30,22:00,0,"대인17,000원+소인15,000원",단체는 10명이상(성인기준)+단체시티투어 10퍼센트할인+소인은 6세~9세까지+입장료 중식비 별도,http://www.cmtour.co.kr/tour/,경상북도 경주시청,054-779-6982,2020-10-23,5050000,경상북도 경주시
대전광역시,동구,힐링(장태산),042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,"대전역 → 카리용(대전과학기술대) → 장태산자연휴양림 → (으능정이, 스카이로드 경유) 대전역",,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,야경,042-252-7726,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 대동하늘공원(벽화마을) / 낙조 및 대전시내 야경 → 효월드(뿌리공원) → 대전역,,,연중 매주 금,18:30,22:30,0,"4,000월","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,가족여행,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 국립중앙과학관 → 카이스트(경유) → 화폐 박물관 → 지질박물관 → (성심당 본점 경유) 대전역,,,연중 매주 월-일요일,18:20,22:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,가족여행,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 대전복합터미널(경유) → 계족산황톳길 걷기(뻔뻔한 클래식음악회) → 대전역,,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,가족여행,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,"대전역 → 한밭수목원(동·서원), 이응노미술관(자유관람), 대전시립미술관(자유관람) → 테미오래 → 대전역",,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,가족여행,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 대전복합터미널(경유) → 대청호오백리길(암석식물원∼대청댐물문화관) → 슬픈연가촬영지 → (판암역 경유) 대전역,,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,남부코스,042-252-7725,매주 토 + 일요일 운영,순환형,승강장별 탑승,대전역 → 서대전역 → 옛충남도청사 → 테미오래 → 대전아쿠아리움 → 대전오월드 → 효월드 후문 → 장태산자연휴양림 → 대흥동성당(성심당 본점) → 대전역,,,연중 매주 토-일요일,09:30,19:55,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,대청호코스,042-252-7725,매주 토 + 일요일 운영,순환형,승강장별 탑승,대전역 ↔ 판암역 ↔ 세천근린공원 ↔ 신상교 ↔ 대청호자연생태관 ↔ 슬픈연가촬영지 ↔ 찬샘마을 ↔ 두메마을 ↔ 삼정동생태공원 ↔ 대청댐물문화관 ↔ 신탄진역,,,연중 매주 토-일요일,09:30,17:55,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
충청남도,부여군,사비향 상상투어,부여군충남관광안내소 041-830-2880,토~일요일,고정형,롯데리조트,능산리와 나성-궁남지-정림사지 5층석탑-부소산성(황포돛배)-국립부여박물관,정관장 인삼박물관+홍산관아 및 객사,서동연꽃축제 및 백제문화제에 따라 코스변경 가능+궁남지 연꽃 개화시기에 맞춰 코스변경 가능,세종시 출발 5명이상인 경우 세종 싱싱장터 도담점에서 출발,09:30,17:00,300,노인7000원+청소년7000원+어린이5000원+아동1000원,출발 5일전 이내로 신청할 경우 3000원 비용추가,http://tour.buyeo.go.kr,충청남도 부여군청,041-830-2219,2020-06-30,4570000,충청남도 부여군
대전광역시,동구,대덕특구탐방,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 국립중앙과학관 → 카이스트(비전관) → 화폐박물관 → (성심당 본점 경유) 대전역,,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,대덕특구탐방,042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 지질박물관 → 대전시민천문대(우천시 솔로몬로파크) → 엑스포과학공원(미래에너지움) → 대전역,,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,역사문화(효월드),042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,"대전역 → 무수천하마을(유회당) → 효월드(효문화진흥원, 뿌리공원, 족보박물관) → 대전시립박물관 → (성심당 본점 경유) 대전역",,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,역사문화(동춘당),042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 대전복합터미널(경유) → 동춘당 → 우암사적공원(남간정사) → 옛충남도청(근현대사전시관) → (으능정이거리 경유) 대전역,,,연중 매주 월-일요일,14:00,17:30,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
대전광역시,동구,힐링(만인산),042-252-7725,매주 월~일요일 운영,고정형,대전역시티투어승강장,대전역 → 만인산자연휴양림 → 대동하늘공원(벽화마을)→ (중앙시장 경유) 대전역,,,연중 매주 월-일요일,09:30,13:00,0,"4,000원","만36개월-초등학생, 장애인, 국가유공자, 만65세이상, 20인이상 단체 3,000원",www.daejeoncitytour.co.kr,대전광역시,042-270-3971,2020-12-17,6300000,대전광역시
경상북도,영주시,힐링 1코스,054-634-5445,09:50 ~ 18:00,고정형,"영주역, 영주종합터미널",영주역-영주종합터미널-부석사-죽령옛길-특산물시장-무섬마을-영주종합터미널-영주역,,,"매주 1,3,5주 일요일",09:50,18:00,0,"성인4,000+경로및청소년2,000","성인단체(10명이상)3,000원+현장구매6,000",http://yjtour.kr,영주시 관광진흥과,054-639-6612,2020-07-20,5090000,경상북도 영주시
경상북도,영주시,힐링 2코스,054-634-5445,09:50 ~ 18:00,고정형,"영주역, 영주종합터미널",영주역-영주종합터미널-부석사-국립산림치유원-특산물시장-무섬마을-영주종합터미널-영주역,,,"매주 2,4주 일요일",09:50,18:00,0,"성인4,000+경로및청소년2,000","성인단체(10명이상)3,000원+현장구매6,000",http://yjtour.kr,영주시 관광진흥과,054-639-6613,2020-07-20,5090000,경상북도 영주시
