,itemname,content,region,price,score,keywords,seoul_ipad
0,아이패드프로 4세대(11형 2세대) wifi 256 스그 새상품,"지난주 구매
미개봉 새상품
약간의 에눌 가능

팬슬 새것 145000

두가지 모두 하면 1120000

m1 교환 가능",전북 익산시 모현동,990000,120,"없음, 미개봉, 새제품",기타지역
1,아이패드 프로 4세대 11인치 128gb wifi,"아이패드 프로4세대 11인치 128gb wifi 모델 입니다

작년 12월쯤에 구매해 유튜브랑 넷플릭스밖에 안 보다보니
돈 준값을 못하는 거 같아서 이렇게 팔게 되었습니다

상태: s급
보증 기간 : 12월 6일
베터리 성능상태 : 100%
구성품 : 내부 구성품랑 스티커 설명서 등등
쇼핑백 까지 모두 있음

직거래 : 서울특별시 광진구 중곡4동 아차산역
(웬만하면 직거래 원합니다)

택포안됨

연락 많이 주세요",서울 광진구 중곡제4동,800000,107,"없음, 최상급",서울 광진구
2,아이패드 프로 4세대 11형 128기가 스페이스그레이,"실사용 거의 x
구입하자마자 힐링쉴드 저반사 필름 붙이고 케이스 끼고다녀서 상태 매우 매우 매우 좋습니다.
유일한 하자가 오른쪽 모서리 부분 쓸린듯한 약간의 찍힘인데 잘 안보여요. 
사진 첨부되어있는 것 봐주시면 됩니다.
그 외의 하자나 기스는 없어요!

박스 구성품 풀박스입니다.
쿨거시 라이노 펜슬 수납 케이스와 
자석부착 케이스 2종 쓰던 것도 같이 드릴게요.

추가 구매 가능

- 애플펜슬 2세대 
- 로지텍 블루투스 키보드 , 마우스 

쿨거시 약간의 에눌 가능하나, 터무니없는 가격제안은 삼가해주세요!",인천 서구 검암동,750000,107,"없음, 풀박스",기타지역
3,아이패드 프로 4세대 11인치(2세대) wifi 256g,"2020년 9월 24일에 창원롯데백화점 윌리스에서
구입한 아이패드 프로 11인치 wifi 256g 입니다.
집에서 유튜브, 넷플릭스만 보는게 
아까워서 내놓습니다. 

집밖으로 나간적이 없는 놈입니다.
모서리부분도 찍힘 없구요~
애플케어도 가입되어 있어서 
맘편히 사용 가능하십니다~
(2022년 9월까지 애플케어)

살때 있던거 박스, 비닐 포장재까지 풀세트 입니다.

사진 보시구요~
걱정없이 구매하셔도 됩니다~
당근으로 연락 주세요~

창원 왠만한 곳이면 제가 갑니다~
커피 한 잔 하시면서 꼼꼼히 확인하고 사세요~
쿨거래 환영~",경남 창원시 의창구 신월동,1000000,120,"없음, 애플케이플러스, 256",기타지역
4,아이패드 프로 4세대(11인치 2세대) 256gb 스그 / 애케플 22/11,"20년 10월 구매 👉🏻 11월 애케플 구매
22년 11월까지 애케플 2번 그대로 남아있고
생활기스, 사용감 전혀 없고 완전 새거다 느낄만큼
고이고이 모셔서 사용했서용🥲

애케플 한참 남아서 어느정도 사용하시다가
애케플로 새기기도 받으실 수 있어용 (2번)


구성은
아이패드 프로 11인치 2세대 (4세대 11인치)
풀박 (충전기포함)
폴리오 케이스 + 저반사필름(현재 부착)
애플 케어 플러스



까치산역 직거래 혹은 택배거래 상관없으나
택배거래시 제품 손상 및 파손 책임 못집니다◡̈",서울 강서구 화곡동,950000,125,"없음, 필름, 새제품, 애플케이플러스",서울 강서구
5,아이패드 프로 4세대 11인치 128gb 와이파이 스페이스그레이 애플케어,"20년 11월 구매후 애플케어 가입
깨끗합니다",서울 강서구 화곡동,850000,100,없음,서울 강서구
6,아이패드프로4세대 11인치 wifi 1tb 새거 팝니다,"아이패드 프로 4세대 11인치 wifi용입니다
용량 1테라바이트 1024gb이고 블랙색상 입니다
21년3월11일 구매한거고
사자마자 액정 강화유리필름 붙여뒀고 
테두리 기스 흠집 1도없고 사용을 하루 살짝만져본게 다이고 실사용 안예 안했다보셔두 될정도입니다
크게 쓸일도없어 그냥두기 아까워 판매하려합니다
상태 그냥새거입니다
박스에 2세대라 표기가 된것은
아이패드 프로는 4세대까지 출시되어있는데
1세대는 9.7 / 12.9 인치   2세대는 10.5 / 12.9인치
3세대는11 / 12.9인치   4세대는 11 / 12.9인치
출시가 된거라 11인치(2세대)라 표기가 되는겁니다

상인롯데백화점 직거래합니다",대구 남구 대명동,1200000,150,"없음, 필름, 새제품, 1tb, 미사용",기타지역
7,s급 아이패드 프로 4세대 11인치 wifi 128,"쿠팡에서 작년 10월 중순경 구매했어요
상태 너무 좋습니다
잔기스 하나 없어요 

카메라 보호액정도 끼웠어요",강원도 원주시 문막읍,810000,100,없음,기타지역
8,아이패드 프로 4세대(11) 128기가 스페이스그레이,"비닐만 뜯었고
상자안에는 미개봉 상품과 동일한 새상품 입니다
배곧 직거래 합니다",경기도 시흥시 배곧동,950000,120,"없음, 미개봉, 새제품",기타지역
9,아이패드 프로 4세대 11인치 lte 128기가 셀룰러 애플케어 22년5월 까지 적용입니다,"2020년5월 구매 집에서만 사용 했습니다.
애플케어 플러스 가입중입니다 22년5월까지
공부하거나 그럴때   와이파이모델도 사용해봤으나 인강이나 들을때 엄청 불편합니다 셀룰러가 좋아요.
스마트폴리오 세거 같이 드립니다. 아이패드 상태는 새상품급입니다. 사진잘찍었으니보세요 
스마트폴리오 포함 1,260,000원 입니다",서울 광진구 구의동,1100000,125,"없음, 새제품, 셀룰러",서울 광진구
