,itemname,content,region,price,score,keywords
0,"아이패드 프로 4세대 12.9 (128gb, wifi)",올해 1월 말에 샀음.... 진짜 너무 깨끗하고 좋아요...,전북 전주시 덕진구 덕진동1가,950000,100,없음
1,(애케플) 아이패드프로4세대 12.9 wifi 256 팝니다,"실버컬러입니다 wifi버젼 256gb 모델입니다. 
애플케어플러스는 2022.11.4 까지입니다
풀박스 구성입니다. 원래 샀던 그대로입니다. 

화면에 살짝 기스가 있는데 신경 안 쓰시는 분들은 그냥 써고 화면 켜 있을 때는 별로 티 안나서 그냥 쓰셔도 되고요. 
 신경 쓰이시는 분들은 좀 쓰시다가 애케플 적용 받으시면 될 것 같습니다. 

그 외에는 전반적으로 상태 a급입니다.",인천 남동구 만수동,1050000,124,"없음, 최상급, 풀박스, 256"
2,아이패드pro4 12.9인치 128기가 셀룰러 모델 + 애플케어 2022년 5월까지,작년 5월에 구매했고 보름전에 리퍼 한번 받았습니다 실사용감 거의 없고 기스 없습니다 앞에 필름지 부착 되있습니다 박스랑 충전기 다 드립니다 연락주세요,경북 포항시 북구 흥해읍,1050000,105,"없음, 필름"
3,아이패드 프로4세대 12.9인치 셀룰러 판매합니다,2021 1월말에 일렉트로닉마트에서 구매 했습니다 보증기간 2022 1/25까지 남았구요 유트브 시청용으로 사용했습니다 구매 당시 필름 케이스 사용하여 생활기스도 없습니다 구매 당시 패드 상자까지 다 있습니다,서울 송파구 가락본동,1100000,105,"없음, 리퍼기간"
4,아이패드프로 4세대 12.9 셀룰러 128g 미개봉,"아이패드프로 4세대 12.9 셀룰러 제품입니다.
미개봉 새제품입니다.
스페이스 그레이색이구요.
백화점구매 영수증 및 종이백까지 풀박스 입니다.
선물 하셔도 좋아요",부산 해운대구 좌동,1200000,142,"없음, 미개봉, 새제품, 풀박스, 셀룰러"
5,아이패드 프로4세대 12.9인치 셀룰러+와이파이 512g  판매합니다,"아이패드 프로4세대 12.9인치
셀룰러+와이파이 512g 스페이스그레이

셀룰러 정상해지된 자급제 공기기이며
풀박스로 박스 및 충전기,케이블 포함입니다
블루라이트 차단 필름+후면보호필름 (10만원상당)
부착해 보호했고 현재도 부착되어있어요
케이스도 있는거 같이 드리고
기스/찍힘/휨 등등 없이 상태 아주 좋습니다
마장역에서 직거래로 천천히 다 확인해보세요

좋은 구매자분이 가져가시길 기다릴께요!
감사합니다!

아! 애플펜슬2세대도 풀박스인데 
같이 구입하시면 +10만원에 드리겠습니다!",서울 성동구 마장동,1190000,140,"없음, 필름, 셀룰러, 512"
6,아이패드프로4세대12.9,"3달남짓사용 충전기포함 풀박스
상태최상입니다.
128기가 실버
케이스는 연한색이라 때가 좀탔지만 펜슬 끼우는 곳도있어서 좋더라구요
필요하시면 함께 드립니다.
케이스는 방금 사진찍을때 외에 한번도 뺀적없어서 정말깨끗해요

황금동 경북고건너편직거래
2시이후 차례대로연락드릴게요~~",대구 수성구 황금1동,1040000,107,"없음, 최상급"
7,아이패드프로4세대(12.9),"아이패드프로4세대
12.9 wifi 128기가입니다
풀박스에 애플펜슬2세대포함
애플케어플러스 2023.2.7까지
상태 ss급 기스하나없고 필름부착되어있어요
사용할일이 크게없네요
사실분만 신중히 챗부탁드립니다",강원도 춘천시 근화동,1250000,112,"없음, 필름, 최상급"
8,아이패드프로 4세대 12.9 wifi 판매합니다.,"아이패드 프로 4세대 
128gb wifi 실버 판매합니다.

사용상 불편함으로 
갤탭으로 넘어가기 위해 판매하며
실기스도 없고 그냥 새거라고 보시면 됩니다.

아이패드 구매당시 여분으로 사놨던 

모서리 범퍼형 젤리케이스 2개(펜슬 충전가능 / 최저가 1만원 중반 )
고릴라퓨어글라스 2장 (0.21mm / 최저가 2만원중반)

같이 포함해서 드려요.

구매일 21. 5. 5.
(보증도 22. 5. 5 입니다)",인천 중구 운서동,870000,110,"없음, 새제품"
9,아이패드 프로 4세대 12.9인치 256gb wifi 스그,"아이패드 프로 4세대 12.9인치 256기가 와이파이 모델입니다.
모델명 a2229 색상은 스페이스그레이입니다.
보호케이스 씌워서 사용했고 액정에는 강화유리 부착되어 있어
신품과 동일한 s급 컨디션입니다.
무상리퍼는 21년 10월 12일까지 유효합니다.
박스는 없고, 본품과 충전기 함께 드립니다.
감사합니다.",서울 성북구 석관동,950000,122,"없음, 필름, 최상급, 256"
10,아이패드프로 4세대 12.9 wifi,"완전 새제품급입니다..

색상은 스페이스그레이..",경기도 김포시 마산동,900000,110,"없음, 새제품"
11,아이패드 프로 4세대 12.9 스그 128g wifi+애캐플,"아이패드 프로 4세대 12.9 스그 128g wifi+애캐플 팝니다
(애플펜슬 판매완료)
박스풀셋입니다 
스크래치 없는줄 알았는데 한개 있네요
마지막 사진 참고 해주세요
애캐플 먹여놔서 22년7월26일까지 언제든 
리퍼 받으실수 있습니다
많이 찔러봐주세요^^",인천 연수구 송도1동,1100000,105,"없음, 리퍼기간"
12,새재품 아이패드 프로4 와이파이512,"사진참고하시고 비닐포장 그대로입니다 내고문자는 답안합니다 구매하실분만 문자주세요중고라서 물건에 큰 하자 없으면 교환, 환불은 어려운 점 이해 부탁드려요~",경기도 화성시 안녕동,1300000,100,없음
13,아이패드 프로 4세대 12.9인치 256기가 wifi + 셀룰러 애플케어플러스 등록 (21.2.16구입) 사용감x,"아이패드 프로 4세대 12.9인치 256기가 wifi + 셀룰러 애플케어플러스 등록 (2.16구입) 사용감x
사진은 필요하시면 원하시는대로 보내드립니다

가격 적정선에서 흥정 가능합니다

케이스 있어요
종이필름(고가) 붙여 놓았어요(사각사각)

사용을 거의 안해서 사용감이 거의 없습니다
풀케이스 입니다 
내용물 패드외 미개봉 입니다",광주 북구 일곡동,1450000,150,"없음, 필름, 미개봉, 애플케이플러스, 셀룰러, 256"
14,(이번주처분) 아이패드 프로4세대 셀룰러 12.9인치 128g,"아이패드 프로4세대 12.9인치 셀룰러모델입니다
128g 입니다

-실내에서만 썻고 사자마자 옆면 뒷면 그리고 카메라 필름 부착해서 뒷면 옆면 카메라는 기스,찍힘 전혀 없습니다. 지금도 붙여져 잇어요.

-화면에 진짜 얇은 기스 쪼금 있습니다. 평소에는 잘 보이지 않고 조명 비추면 살짝 보입니다. 
필름 붙이시고 사용하실분들은 필름붙이면 전혀 안보이고
막쓰실분들은 더 추천드립니다.


-박스잇습니다

-패치웍스 뒷판 케이스 거의새거 같이 드려요

번개페이 가능합니다

직거래
강남역
아차산역
가디역
주말 석촌역",서울 광진구 능동,968000,123,"없음, 필름, 새제품, 셀룰러, 기스"
15,[미개봉] apple 아이패드 프로 4세대 12.9형 wifi 256g 스그 팝니다,"[미개봉] 아이패드 프로 12.9 4세대 wi-fi 256gb 팝니다

​

미개봉 제품이구요 선물 받았는데 사용할 일이없어서 팝니다

​
대화 주세요",서울 마포구 상암동,1100000,120,"없음, 미개봉, 256"
