,itemname,content,region,price
0,"아이패드케이스,라이노아이패드,아이패드에어4케이스팝니다","정가 21800원주고산거에요 새거에요
한번착용하고 벗겨서보관만해두었어요
세컨용으로 산것인데 잊고있다가 사용안해서
팔아요",경기도 부천시 오정동,"15,000원"
1,i Pad아이패드 8세대 128GB 골드(wifi)+애플펜슬+아이패드 케이스,"교환,환불은 불가하니 알고계셔주세요!아이패드, 박스랑 펜슬 그리고 케이스까지 포함해 69만원으로
직거래로 팝니다
색상은 골드고
사용한지 얼마 안되서 좋아요! 128GB입니다

직거래는 수완지구or운암동or근처에서도 가능하세요! 자세한건 챗으로 서로 합의해 결정합니다",광주 북구 신용동,"690,000원"
2,아이패드 프로 3세대 12.9 256GB+애플팬슬+스마트폴리오+로지텍 키보드 케이스+아이패드 케이스,"iPad PRO 12.9” 3th 256GB 
구매시기 : 2019.08
상태 : 생활 스크레치 하나 없음
풀박스(충전기 포함)

애플펜슬 2th
구매시기 : 2019.08
상태 : 펜촉 마모 없음
풀박스

스마트 폴리오
구매시기 : 2020. 08
상태 : 생활 스크레치 하나 없음
박스 없음

로지텍 키보드 케이스
구매시기 : 2019.08
상태 : 생활 스크레치 조금 있음
박스 없음

아이패드 케이스 
서비스

사진 원하시면 추가 인증 쌉가능",경기도 안산시 단원구 호수동,"1,100,000원"
3,아이패드6세대케이스/아이패드6세대거치대,"새상품이고 비닐에 포장 되있어요
9.7인치 전용

네고불가
법원단지길 137 (법원세탁소 앞)",서울 관악구 신림동,"13,500원"
4,아이패드 에어3 64g 와이파이 실버+애플펜슬+로지텍키보드+아이패드파우치,"깨끗하게 썼습니다 ! 
에어4+애플펜슬 교환가능 !! +100000드려용",부산 부산진구 양정동,"650,000원"
5,아이패드 프로 12.9 종이필름 (ipad pro 12.9),"미개봉한 아이패드 프로 12.9인치 종이필름 팝니다
같이 동봉된 렌즈 닦는 리무버도 같이 드려요
계시는 동네까지 가능하면 픽업해드리고요
제 거주지까지 오시면 조금 깎아드리겠습니다",충남 천안시 동남구 목천읍,"20,000원"
6,🗝프로퍼빌롱잉즈 아이패드 파우치 (아이패드 11인치),"10만원 이상 주고산 소가죽 아이패드 파우치입니다
아이패드 프로 3세대 11인치 넣고 다녔구요!

사진보시면 앞판에 자세히 보아야 보이는 스크레치 있고 다른 하자 없는 상태입니다 !
케이스로만 들고다녀 파우치를 안쓰게 되네요 ㅠㅠ 저렴한 가격에 올립니다. 구입당시 받았던 스트링 천 파우치도 같이 드려요 ㅎㅎ

좋은 물건 얼른 가져가세요! 정말 고급스럽고 예쁜 디자인과 소재에 머드베이지 컬러입니다 :-)

직거래. 반값택배.택배 모두 가능",서울 동대문구 이문동,"48,000원"
7,ipad air 아이패드에어4 실버 256기가 판매합니다.,"애플 공식홈페이지에서 구매하였고, 케이스를 빼지않아 생활기스 조차도 없습니다. 

풀박이며 얼마 사용하지 않아 거진 새거예요. 

고가의 전자제품이라 직거래만 가능합니다. 

쿨거래시 75만원 에눌가능합니다. 

참고 부탁드려욤🙌
(아이패드 파우치는 인터넷에서 따로 주문하여 애플로고를 새긴거에요. 파우치만 따로 보관해서 파우치는 사용감이 있습니다. 원하시면 같이 드려요)",서울 금천구 시흥동,"770,000원"
8,아이패드 프로 3세대 12.9인치 (iPad Pro 3rd 12.9in),"- 아이패드 프로 3세대 12.9인치 64GB
- 스페이스 그레이 색상
- 해외구매라 무음시 카메라 찰칵소리 안남
- 마지막 사진으로 스펙 확인해주세요!

# 찔러보기 불가능
# 쿨거 하시면 애플 정품 15만원짜리 스마트폴리오(사용감있음) 드리겠습니다",경기도 고양시 일산동구 장항동,"790,000원"
9,아이패드 프로(ipad pro) 12.9 4세대 256기가 wifi 스페이스그레이 미개봉신품 + 결제영수증,"며칠전에 선물로 받은 아이패드 프로인데
별로 필요없을거같아서 판매합니다
뜯지도 않은 새겁니다

사진에 나와있듯 
20년 12월 생산품이고
21년 4월 20일 구매된 제품입니다
회사에서 11번가 통해 대량구매한건데 
주문일과 주문번호가 기재된 구매내역 인쇄해서 보관중입니다
미개봉품이고 활성화된 이력이 없어 기기등록이나 애케플 가입에 문제 없다고 합니다
불안하시다면
직거래시 현장에서 시리얼 조회해보셔도 되고
같이 애플스토어를 가서 등록을 해도 되고 
다 동행해드립니다

노원역 상계역 직거래입니다",서울 노원구 중계4동,"1,200,000원"
