,keyword,score
0,기업,4.0212935e-08
1,환경,2.2432042e-08
2,정보,1.888317e-08
3,경영,1.8749493e-08
4,사회,1.804894e-08
5,관련,1.7760813e-08
6,관리,1.2685328e-08
7,활동,1.26056205e-08
8,주주,1.242161e-08
9,이사,1.2260052e-08
10,위험,1.1526572e-08
11,이해,1.1513222e-08
12,평가,1.1464194e-08
13,감사,1.1027654e-08
14,필요,1.0594403e-08
15,책임,1.044651e-08
16,사항,1.0370018e-08
17,위원회,1.0318619e-08
18,가능,9.929441e-09
19,소비자,9.738419e-09
20,제품,9.414139e-09
21,주요,8.837875e-09
22,관계자,8.662695e-09
23,내부,8.647888e-09
24,발생,8.55485e-09
25,활용,8.554373e-09
26,이사회,8.367243e-09
27,고려,8.175286e-09
28,결정,8.1468485e-09
29,사업,8.095971e-09
30,지속,8.033271e-09
31,거래,7.953451e-09
32,보호,7.887118e-09
33,다양,7.843454e-09
34,인권,7.72874e-09
35,과정,7.677927e-09
36,친환경,7.549954e-09
37,운영,7.51882e-09
38,개선,7.454439e-09
39,체계,7.447729e-09
40,전략,7.432598e-09
41,성과,7.2192265e-09
42,재무,7.216552e-09
43,제공,7.210212e-09
44,제도,7.097365e-09
45,중요,7.093969e-09
46,내용,7.0080537e-09
47,변화,6.9882775e-09
48,지원,6.9824124e-09
49,공정,6.967741e-09
50,근로자,6.9146013e-09
51,정책,6.876877e-09
52,에너지,6.8450925e-09
53,수립,6.7194703e-09
54,사용,6.7040453e-09
55,물질,6.6765766e-09
56,경영진,6.5809855e-09
57,생산,6.578837e-09
58,공시,6.5770145e-09
59,공개,6.514135e-09
60,마련,6.440031e-09
61,이용,6.3939645e-09
62,영향,6.3724106e-09
63,자원,6.338393e-09
64,참여,6.303618e-09
65,개인,6.169e-09
66,의사,6.1435075e-09
67,안전,5.9857967e-09
68,구축,5.946799e-09
69,이행,5.654161e-09
70,서비스,5.6031197e-09
71,포함,5.576625e-09
72,목표,5.5152296e-09
73,검토,5.511898e-09
74,업무,5.4279985e-09
75,시장,5.391788e-09
76,해당,5.3845e-09
77,외부,5.3147153e-09
78,조직,5.2912594e-09
79,결과,5.288216e-09
80,참고,5.2335216e-09
81,시스템,5.174103e-09
82,기회,5.1667115e-09
83,적극,5.1587814e-09
84,사외,5.1427573e-09
85,개발,5.034506e-09
86,절차,4.999199e-09
87,방법,4.9106963e-09
88,기후,4.9094964e-09
89,지역,4.90086e-09
90,화학,4.8995625e-09
91,준수,4.8670454e-09
92,계획,4.860641e-09
93,기준,4.809989e-09
94,이슈,4.794437e-09
95,대응,4.7944315e-09
96,규제,4.734879e-09
97,규정,4.7242934e-09
98,가치,4.6657873e-09
99,한국,4.6652278e-09
100,투자,4.6526427e-09
101,감독,4.6511417e-09
102,수행,4.6449986e-09
103,배출,4.5987605e-09
104,확보,4.5791713e-09
105,효과,4.5763606e-09
106,회사,4.5159845e-09
107,수준,4.507907e-09
108,협력,4.451814e-09
109,공급,4.445243e-09
110,교육,4.4382347e-09
111,효율,4.3811745e-09
112,조치,4.3775223e-09
113,규준,4.374515e-09
114,가이드라인,4.374195e-09
115,구조,4.364587e-09
116,도입,4.324961e-09
117,처리,4.3165023e-09
118,단계,4.297745e-09
119,기관,4.292943e-09
120,최고,4.2828163e-09
121,산업,4.256426e-09
122,재생,4.1929327e-09
123,임직원,4.1787316e-09
124,행위,4.119116e-09
125,글로벌,4.104647e-09
126,반영,4.0755195e-09
127,파악,4.0092565e-09
128,경제,3.9597743e-09
129,금융,3.9520183e-09
130,문화,3.942736e-09
131,보수,3.934724e-09
132,지배,3.932318e-09
133,경영자,3.924368e-09
134,온실가스,3.874616e-09
135,역할,3.8578976e-09
136,제고,3.794154e-09
137,금지,3.7939496e-09
138,보건,3.7446446e-09
139,비용,3.7400034e-09
140,기타,3.729263e-09
141,구성,3.71445e-09
142,선임,3.711116e-09
143,사고,3.7013583e-09
144,예방,3.6887238e-09
145,수단,3.6692214e-09
146,사전,3.6595145e-09
147,자율,3.6562942e-09
148,요구,3.6478935e-09
149,탄소,3.618044e-09
150,강화,3.5850252e-09
151,총회,3.5790577e-09
152,범위,3.5776473e-09
153,보상,3.5772627e-09
154,소비,3.5409546e-09
155,여부,3.5079066e-09
156,관계,3.507612e-09
157,요인,3.443346e-09
158,인식,3.4355083e-09
159,소통,3.431858e-09
160,자료,3.3832988e-09
161,점검,3.3758198e-09
162,의견,3.3640362e-09
163,심사,3.3619478e-09
164,모범,3.3599514e-09
165,주기,3.3001095e-09
166,정기,3.2972334e-09
167,분석,3.296148e-09
168,실행,3.2894183e-09
169,확대,3.2352296e-09
170,전문,3.2293872e-09
171,기반,3.2252891e-09
172,상황,3.2208307e-09
173,장기,3.2173897e-09
174,보고서,3.2157124e-09
175,방지,3.1970315e-09
176,기술,3.1652803e-09
177,구매,3.1586456e-09
178,회계,3.1537488e-09
179,직접,3.1528704e-09
180,방안,3.150769e-09
181,법령,3.0855747e-09
182,실시,3.083637e-09
183,노력,3.078712e-09
184,프로그램,3.045057e-09
185,설정,3.0129268e-09
186,독립성,2.9956237e-09
187,고용,2.9576093e-09
188,업체,2.9389462e-09
189,목적,2.9377498e-09
190,국내외,2.9339422e-09
191,후보,2.9242835e-09
192,까지,2.8861846e-09
193,피해,2.8828306e-09
194,규모,2.8758813e-09
195,대상,2.864269e-09
196,공유,2.8599285e-09
197,자사,2.8009899e-09
198,권한,2.800334e-09
199,이익,2.7996678e-09
200,국제,2.7956857e-09
201,투명,2.7868516e-09
202,직무,2.7857665e-09
203,중대,2.7306e-09
204,인증,2.7302458e-09
205,지침,2.7261386e-09
206,문제,2.7234435e-09
207,의무,2.7222287e-09
208,연계,2.7164504e-09
209,통합,2.7158462e-09
210,대표,2.6597025e-09
211,제한,2.6558686e-09
212,력사,2.6551934e-09
213,침해,2.6528961e-09
214,측정,2.6503735e-09
215,이니셔티브,2.6498517e-09
216,기업지배구조,2.6447111e-09
217,방침,2.643158e-09
218,가격,2.5936142e-09
219,현황,2.5895543e-09
220,사례,2.5852365e-09
221,자발,2.5842533e-09
222,기능,2.5833058e-09
223,행동,2.5752045e-09
224,적정,2.5750286e-09
225,부서,2.5705573e-09
226,보고,2.5692033e-09
227,사업장,2.526159e-09
228,유도,2.5242202e-09
229,자본,2.5112323e-09
230,모니터링,2.5103626e-09
231,실질,2.5049602e-09
232,신뢰,2.5028886e-09
233,법률,2.4569284e-09
234,경쟁,2.4432634e-09
235,달성,2.4424178e-09
236,사내,2.43893e-09
237,의미,2.4346007e-09
238,임원,2.432269e-09
239,리스크,2.4310596e-09
240,설치,2.4079758e-09
241,전자,2.3937763e-09
242,부당,2.3744835e-09
243,보장,2.3710829e-09
244,윤리,2.3663393e-09
245,합리,2.3631606e-09
246,결의,2.3620619e-09
247,관행,2.3615956e-09
248,검증,2.3539535e-09
249,사용량,2.3046112e-09
250,국내,2.295857e-09
251,행사,2.2952733e-09
252,성장,2.294794e-09
253,변경,2.2932463e-09
254,원칙,2.2883468e-09
255,요건,2.2856346e-09
256,자격,2.284104e-09
257,승계,2.2834685e-09
258,위원,2.282595e-09
259,오염,2.2537208e-09
260,회의,2.234896e-09
261,일반,2.2260425e-09
262,지표,2.2209763e-09
263,채널,2.2184297e-09
264,요소,2.2168543e-09
265,감축,2.1682502e-09
266,사유,2.1646562e-09
267,핵심,2.1622575e-09
268,시간,2.1603326e-09
269,우선,2.1512447e-09
270,주식,2.1483275e-09
271,통제,2.1416235e-09
272,온라인,2.100452e-09
273,위반,2.0972526e-09
274,법규,2.086514e-09
275,최종,2.0830921e-09
276,관심,2.0783886e-09
277,의결권,2.0769966e-09
278,분야,2.0237314e-09
279,개정,2.0227575e-09
280,대비,2.017965e-09
281,기본,2.0073256e-09
282,설계,2.004978e-09
283,근거,2.0040782e-09
284,아래,2.003387e-09
285,추천,2.0013775e-09
286,비율,1.9833704e-09
287,판매,1.9575357e-09
288,유형,1.9440234e-09
289,고객,1.9412136e-09
290,전환,1.9407909e-09
291,촉진,1.9395772e-09
292,판단,1.938728e-09
293,권리,1.9368536e-09
294,실적,1.9353978e-09
295,건강,1.9306141e-09
296,거버넌스,1.9294577e-09
297,확인,1.9286968e-09
