,keyword,score
0,관리,3.4990844e-08
1,제품,3.251817e-08
2,환경,2.9501109e-08
3,협력,2.8964921e-08
4,사업,2.8506618e-08
5,활동,2.8314378e-08
6,고객,2.810443e-08
7,교육,2.791175e-08
8,안전,2.660436e-08
9,사회,2.643786e-08
10,운영,2.6219686e-08
11,지원,2.539117e-08
12,개선,2.4125612e-08
13,경영,2.3636774e-08
14,대상,2.3406127e-08
15,정보,2.280032e-08
16,평가,2.23878e-08
17,강화,2.2319396e-08
18,임직원,2.2299147e-08
19,전자,2.2285365e-08
20,가능,2.0647652e-08
21,기술,2.0190525e-08
22,지속,2.0133227e-08
23,사업장,2.011721e-08
24,기업,1.9961611e-08
25,부문,1.9881915e-08
26,사용,1.9752083e-08
27,한국,1.8912381e-08
28,개발,1.8834223e-08
29,건강,1.8710335e-08
30,다양,1.8353393e-08
31,생활,1.7318634e-08
32,주요,1.7007032e-08
33,활용,1.6942238e-08
34,현황,1.6879499e-08
35,확대,1.6829048e-08
36,지역,1.6790251e-08
37,글로벌,1.6782634e-08
38,에너지,1.5821024e-08
39,품질,1.5776575e-08
40,리스크,1.573659e-08
41,대응,1.5639374e-08
42,조직,1.5601254e-08
43,시스템,1.5142444e-08
44,공정,1.4890783e-08
45,구분,1.47747965e-08
46,물질,1.4724996e-08
47,해외,1.4536631e-08
48,점검,1.4458986e-08
49,업무,1.4301044e-08
50,체계,1.4247277e-08
51,과정,1.40379095e-08
52,제도,1.3909231e-08
53,발생,1.3696832e-08
54,실시,1.3640265e-08
55,생산,1.3599265e-08
56,이슈,1.3471722e-08
57,현장,1.34311255e-08
58,보호,1.34177345e-08
59,삼성,1.32193865e-08
60,변화,1.30783615e-08
61,참여,1.2922863e-08
62,산업,1.2899663e-08
63,삼성물산,1.2869726e-08
64,사항,1.2815734e-08
65,분야,1.2795329e-08
66,진행,1.2650957e-08
67,제공,1.2583211e-08
68,구축,1.248131e-08
69,이해,1.2463377e-08
70,서비스,1.2419855e-08
71,배출,1.2370076e-08
72,영향,1.23650254e-08
73,분석,1.2322091e-08
74,프로그램,1.2267733e-08
75,성과,1.2255689e-08
76,기타,1.206342e-08
77,적용,1.1854376e-08
78,국내,1.1840494e-08
79,까지,1.16628e-08
80,거래,1.1624948e-08
81,외부,1.156468e-08
82,컴플라이언스,1.1537678e-08
83,건설,1.15347305e-08
84,전문,1.1516965e-08
85,결과,1.1456004e-08
86,정책,1.120108e-08
87,문화,1.1161462e-08
88,개인,1.1070402e-08
89,기반,1.105172e-08
90,검증,1.0989139e-08
91,위험,1.0918611e-08
92,목표,1.0820302e-08
93,가치,1.0789432e-08
94,전략,1.0778113e-08
95,보안,1.07549845e-08
96,단계,1.0731868e-08
97,향상,1.0722667e-08
98,확보,1.0597542e-08
99,신규,1.0523341e-08
100,추진,1.04938005e-08
101,준수,1.0477427e-08
102,친환경,1.0438001e-08
103,인증,1.0405327e-08
104,공급,1.0344503e-08
105,위원회,1.0326542e-08
106,필요,1.0262777e-08
107,이상,1.0239977e-08
108,프로세스,1.0221169e-08
109,단위,1.0173877e-08
110,경우,1.0163897e-08
111,역량,1.012423e-08
112,포함,9.985804e-09
113,예방,9.84795e-09
114,계획,9.79971e-09
115,인권,9.7753245e-09
116,시설,9.763154e-09
117,모니터링,9.695314e-09
118,시간,9.632142e-09
119,관계자,9.627795e-09
120,효율,9.532569e-09
