,keyword,score
0,사업,3.216559e-08
1,지원,3.1949533e-08
2,포스코,3.1022875e-08
3,사회,3.0729737e-08
4,기업,3.0288902e-08
5,관리,2.9691332e-08
6,서비스,2.9087738e-08
7,운영,2.9004685e-08
8,정보,2.8848621e-08
9,경영,2.7080244e-08
10,교육,2.6722773e-08
11,환경,2.6533828e-08
12,고객,2.6006742e-08
13,기술,2.5629872e-08
14,활동,2.4530076e-08
15,대상,2.4046408e-08
16,텔레콤,2.3965525e-08
17,지역,2.3411248e-08
18,협력,2.3244368e-08
19,임직원,2.2506743e-08
20,평가,2.2277078e-08
21,개발,2.1875882e-08
22,지속,2.184868e-08
23,가능,2.170851e-08
24,안전,2.159232e-08
25,제공,2.1583395e-08
26,기반,2.1388281e-08
27,주요,2.1180348e-08
28,활용,2.0547182e-08
29,사용,2.008903e-08
30,개선,1.9643052e-08
31,제품,1.9516353e-08
32,다양,1.9103178e-08
33,강화,1.8619945e-08
34,확대,1.838379e-08
35,공정,1.8270894e-08
36,리스크,1.818893e-08
37,삼성전자,1.7904629e-08
38,보호,1.781209e-08
39,대응,1.7561272e-08
40,발생,1.6225819e-08
41,업무,1.6091622e-08
42,에너지,1.6070626e-08
43,통신,1.6047077e-08
44,시스템,1.60435e-08
45,센터,1.564571e-08
46,그룹,1.5530393e-08
47,프로그램,1.552889e-08
48,구축,1.5417292e-08
49,보안,1.5122595e-08
50,에게,1.505865e-08
51,윤리,1.4822863e-08
52,추진,1.4712303e-08
53,생산,1.4665118e-08
54,결과,1.4610529e-08
55,글로벌,1.4575706e-08
56,투자,1.4475676e-08
57,현황,1.4434789e-08
58,조직,1.4413939e-08
59,체계,1.4377098e-08
60,국내,1.4340559e-08
61,성과,1.4190365e-08
62,산업,1.4059358e-08
63,정책,1.3955125e-08
64,과정,1.3941243e-08
65,구분,1.3900407e-08
66,적용,1.37341845e-08
67,까지,1.3729406e-08
68,포함,1.36307925e-08
69,성장,1.3612447e-08
70,참여,1.3526206e-08
71,거래,1.35106255e-08
72,데이터,1.3455258e-08
73,공급,1.3446235e-08
74,점검,1.3334322e-08
75,전문,1.3316657e-08
76,비율,1.3256116e-08
77,변화,1.3193664e-08
78,개인,1.3174519e-08
79,사업장,1.315219e-08
80,가치,1.3055636e-08
